Name,"Full name","Description","Location","Coordinates","URL","Version","DNSSEC validation","No logs","Namecoin","Resolver address","Provider name","Provider public key","Provider public key TXT record"
adamas,"Adamas.ai DNSCrypt","DNSCrypt Server in LUX provided by adamas.ai","Luxembourg","","http.//adamas.ai","1","no","yes","no","80.90.43.162:5678","2.dnscrypt-cert.adamas.ai","6484:544A:4B91:F23A:E8AD:2AA3:6661:C419:D09B:C88D:B1AF:C314:E59D:2C36:0F81:FB99",""
adguard-dns,"AdGuard DNS","Remove ads and protect your computer from malware","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.130:5443","2.dnscrypt.default.ns1.adguard.com","D12B:47F2:52DC:F2C2:BBF8:9910:86EA:F79C:E449:5D8B:16C8:A0C4:322E:52CA:3F39:0873","pk.default.ns1.adguard.com"
adguard-dns-family,"AdGuard DNS Family Protection","Adguard DNS with safesearch and adult content blocking","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.132:5443","2.dnscrypt.family.ns1.adguard.com","B831:5DD7:B14B:6EE3:20A4:70DC:2ED6:B1AA:398C:C9E5:86F8:5D45:45D6:B8C9:B500:5ABA","pk.family.ns1.adguard.com"
adguard-dns-family-ns1,"Adguard DNS Family Protection 1","Adguard DNS with safesearch and adult content blocking","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.132:5443","2.dnscrypt.family.ns1.adguard.com","B831:5DD7:B14B:6EE3:20A4:70DC:2ED6:B1AA:398C:C9E5:86F8:5D45:45D6:B8C9:B500:5ABA","pk.family.ns1.adguard.com"
adguard-dns-family-ns2,"Adguard DNS Family Protection 2","Adguard DNS with safesearch and adult content blocking","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.134:5443","2.dnscrypt.family.ns2.adguard.com","8C21:17A9:EBC1:57D6:FB64:056F:0ADB:C11C:5D83:6734:73C4:6E25:8D9B:2F57:D4EE:351F","pk.family.ns2.adguard.com"
adguard-dns-ns1,"Adguard DNS 1","Remove ads and protect your computer from malware","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.130:5443","2.dnscrypt.default.ns1.adguard.com","D12B:47F2:52DC:F2C2:BBF8:9910:86EA:F79C:E449:5D8B:16C8:A0C4:322E:52CA:3F39:0873","pk.default.ns1.adguard.com"
adguard-dns-ns2,"Adguard DNS 2","Remove ads and protect your computer from malware","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.131:5443","2.dnscrypt.default.ns2.adguard.com","81D0:02D3:6A4C:A50C:473B:7479:650F:E12E:02B3:21CB:6138:562A:208E:403D:FDC5:5E94","pk.default.ns2.adguard.com"
bikinhappy-sg,"BikinHappy Singapore","provided by bikinhappy.com","Singapore","","http://dns.bikinhappy.com","1","yes","yes","no","172.104.46.253:443","2.dnscrypt-cert.dns.bikinhappy.com","7167:91A0:745E:17ED:1E73:D426:C697:E8DF:EE4B:476B:149F:8449:62DD:4615:BD71:5C70",""
bn-fr0,"Babylon Network France 0","Non-logging, uncensored DNS resolver provided by Babylon Network","Roubaix, France","","https://babylon.network","1","no","yes","no","5.135.66.222:5353","2.dnscrypt-cert.babylon.network","8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182","pk.fr0.dnscrypt.babylon.network"
bn-fr1,"Babylon Network France 1","Non-logging, uncensored DNS resolver provided by Babylon Network","Roubaix, France","","https://babylon.network","1","no","yes","no","164.132.130.171:5353","2.dnscrypt-cert.babylon.network","8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182","pk.fr1.dnscrypt.babylon.network"
bn-nl0,"Babylon Network Netherlands 0","Non-logging, uncensored DNS resolver provided by Babylon Network","Amsterdam, The Netherlands","","https://babylon.network","1","no","yes","no","87.253.152.190:5353","2.dnscrypt-cert.babylon.network","8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182","pk.nl0.dnscrypt.babylon.network"
captnemo-in,"Nemo's DNS Resolver India","Non-logging, provided by Nemo","Bangalore, India","","https://captnemo.in/dnscrypt/","1","no","yes","no","139.59.48.222:4434","2.dnscrypt-cert.captnemo.in ","053A:DFF2:C5A3:2916:D81A:D88A:6779:2C30:2BAA:D5D2:8032:95E8:5A9B:D22F:8687:1E10","dnscrypt.captnemo.in"
cisco,"Cisco OpenDNS","Remove your DNS blind spot","Anycast","","https://www.opendns.com","1","no","no","no","208.67.220.220","2.dnscrypt-cert.opendns.com","B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79",""
cisco-familyshield,"Cisco OpenDNS with FamilyShield","Block websites not suitable for children","Anycast","","https://www.opendns.com/home-internet-security/parental-controls/","1","no","no","no","208.67.220.123","2.dnscrypt-cert.opendns.com","B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79",""
cisco-port53,"Cisco OpenDNS backward compatibility port 53","Remove your DNS blind spot","Anycast","","https://www.opendns.com","1","no","no","no","208.67.220.220:53","2.dnscrypt-cert.opendns.com","B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79",""
cloudns-can,"CloudNS Canberra","CloudNS is an Australian based security focused DNS provider.","Canberra, AU","","https://cloudns.com.au","1","yes","yes","yes","113.20.6.2:443","2.dnscrypt-cert.cloudns.com.au","1971:7C1A:C550:6C09:F09B:ACB1:1AF7:C349:6425:2676:247F:B738:1C5A:243A:C1CC:89F4",""
cloudns-syd,"CloudNS Sydney","CloudNS is an Australian based security focused DNS provider.","Sydney, AU","","https://cloudns.com.au","1","yes","yes","yes","113.20.8.17:443","2.dnscrypt-cert-2.cloudns.com.au","67A4:323E:581F:79B9:BC54:825F:54FE:1025:8B4F:37EB:0D07:0BCE:4010:6195:D94F:E330",""
cpunks-ru,"Cypherpunks.ru","Cypherpunks.ru public DNS server","Russia","","http://www.cypherpunks.ru/DNSCrypt.html","1","no","yes","no","77.51.181.209:5353","2.dnscrypt-cert.cypherpunks.ru","1838:CCA3:D953:0A66:3433:5D50:05BD:3758:44E3:977E:E868:2B6C:5528:12BD:A78D:2E99",""
cs-caeast,"CS Canada east DNSCrypt server","provided by cryptostorm.is","Montreal, CA","","https://cryptostorm.is","1","no","yes","yes","167.114.84.132:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-cawest,"CS Canada west DNSCrypt server","provided by cryptostorm.is","Vancouver, CA","","https://cryptostorm.is","1","no","yes","yes","162.221.207.228:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-cfi,"CS cryptofree France DNSCrypt server","provided by cryptostorm.is","Paris, France","","https://cryptostorm.is","1","no","yes","yes","212.83.175.31:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-ch,"CS Switzerland DNSCrypt server","provided by cryptostorm.is","Baar, Switzerland","","https://cryptostorm.is","1","no","yes","yes","185.60.147.77:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-de,"CS Frankfurt, DE DNSCrypt server","provided by cryptostorm.is","Frankfurt, Germany","","https://cryptostorm.is","1","no","yes","yes","84.16.240.43:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-de3,"CS Dusseldorf, DE DNSCrypt server","provided by cryptostorm.is","Dusseldorf, Germany","","https://cryptostorm.is","1","no","yes","yes","89.163.214.174:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-dk,"CS Denmark DNSCrypt server","provided by cryptostorm.is","Copenhagen, Denmark","","https://cryptostorm.is","1","no","yes","yes","185.212.169.139:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-dk2,"CS secondary Denmark DNSCrypt server","provided by cryptostorm.is","Copenhagen, Denmark","","https://cryptostorm.is","1","no","yes","yes","185.212.169.139:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-fi,"CS Finland DNSCrypt server","provided by cryptostorm.is","Helsinki, Finland","","https://cryptostorm.is","1","no","yes","yes","185.117.118.20:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-fr,"CS France DNSCrypt server","provided by cryptostorm.is","Paris, France","","https://cryptostorm.is","1","no","yes","yes","212.129.46.86:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-fr2,"CS secondary France DNSCrypt server","provided by cryptostorm.is","Paris, France","","https://cryptostorm.is","1","no","yes","yes","212.129.46.32:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-lt,"CS Lithuania DNSCrypt server","provided by cryptostorm.is","Vilnius, Lithuania","","https://cryptostorm.is","1","no","yes","yes","46.166.170.10:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-lv,"CS Latvia DNSCrypt server","provided by cryptostorm.is","Riga, Latvia","","https://cryptostorm.is","1","no","yes","yes","80.233.134.52:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-md,"CS Moldova DNSCrypt server","provided by cryptostorm.is","Chisinau, Moldova","","https://cryptostorm.is","1","no","yes","yes","176.123.3.249:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-nl-ns1,"CS Netherlands DNSCrypt server","provided by cryptostorm.is","Rotterdam, Netherlands","","https://cryptostorm.is","1","no","yes","yes","213.163.64.208:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-nl-ns2,"CS Netherlands, NL DNSCrypt server","provided by cryptostorm.is","Roosendaal, Netherlands","","https://cryptostorm.is","1","no","yes","yes","185.107.80.84:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-pl,"CS Poland DNSCrypt server","provided by cryptostorm.is","Warsaw, Poland","","https://cryptostorm.is","1","no","yes","yes","5.133.8.187:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-pt,"CS Portugal DNSCrypt server","provided by cryptostorm.is","Lisbon, Portugal","","https://cryptostorm.is","1","no","yes","yes","109.71.42.228:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-rome,"CS Italy DNSCrypt server","provided by cryptostorm.is","Rome, Italy","","https://cryptostorm.is","1","no","yes","yes","185.94.193.234:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-uk,"CS England DNSCrypt server","provided by cryptostorm.is","Rugby, England","","https://cryptostorm.is","1","no","yes","yes","5.101.137.251:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-useast,"CS New York City NY US DNSCrypt server","provided by cryptostorm.is","Buffalo, NY","","https://cryptostorm.is","1","no","yes","yes","173.234.159.235:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-useast2,"CS Washington DC US DNSCrypt server","provided by cryptostorm.is","Washington, DC","","https://cryptostorm.is","1","no","yes","yes","198.7.58.227:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-usnorth,"CS Chicago IL US DNSCrypt server","provided by cryptostorm.is","Chicago, IL","","https://cryptostorm.is","1","no","yes","yes","173.234.56.115:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-ussouth,"CS Dallas TX US DNSCrypt server","provided by cryptostorm.is","Dallas, TX","","https://cryptostorm.is","1","no","yes","yes","209.58.147.36:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-ussouth2,"CS Atlanta GA US DNSCrypt server","provided by cryptostorm.is","Atlanta, GA","","https://cryptostorm.is","1","no","yes","yes","108.62.19.131:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-uswest,"CS Seattle WA US DNSCrypt server","provided by cryptostorm.is","Seattle, WA","","https://cryptostorm.is","1","no","yes","yes","64.120.5.251:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-uswest3,"CS secondary Las Vegas NV US DNSCrypt server","provided by cryptostorm.is","Las Vegas, NV","","https://cryptostorm.is","1","no","yes","yes","104.238.195.139:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
cs-uswest5,"CS Los Angeles CA US DNSCrypt server","provided by cryptostorm.is","Los Angeles, CA","","https://cryptostorm.is","1","no","yes","yes","173.208.95.75:443","2.dnscrypt-cert.cryptostorm.is","3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A",""
d0wn-es-ns1,"D0wn Resolver Spain 01","Server provided by Martin 'd0wn' Albus","Spain","","https://dns.d0wn.biz","1","yes","yes","no","91.142.220.29:5353","2.dnscrypt-cert.es.d0wn.biz","EB09:E854:AEDA:9705:CB47:ED69:EADD:4156:3653:82C5:C88D:A2E3:6917:3B54:4774:7505","pubkey.es.dnscrypt.d0wn.biz"
d0wn-fr-ns1,"D0wn Resolver France 01","Server provided by Martin 'd0wn' Albus","France","","https://dns.d0wn.biz","1","yes","yes","no","151.80.7.115:5353","2.dnscrypt-cert.fr.d0wn.biz","58A8:22D3:29EB:C14F:BCEB:45AF:42EB:2F58:C797:0AD3:ED31:397D:1D34:8636:2375:7251","pubkey.fr.dnscrypt.d0wn.biz"
d0wn-gr-ns1,"D0wn Resolver Greece 01","Server provided by Martin 'd0wn' Albus","Greece","","https://dns.d0wn.biz","1","yes","yes","no","85.25.105.193:1053","2.dnscrypt-cert.gr.d0wn.biz","B19C:0B5C:48F2:58FA:0BE4:67F4:5F50:BC7F:985F:C544:8A4F:BC9D:5574:5A35:5701:8009","pubkey.gr.dnscrypt.d0wn.biz"
d0wn-is-ns1,"D0wn Resolver Iceland 01","Server provided by Martin 'd0wn' Albus","Iceland","","https://dns.d0wn.biz","1","yes","yes","no","37.235.49.61:1053","2.dnscrypt-cert.is.d0wn.biz","2B28:974E:073A:6B38:722A:5BE1:F7A0:250C:508F:A809:238F:8F3D:76D8:6098:20D7:B2D9","pubkey.is.dnscrypt.d0wn.biz"
