cs-dk,"CS Denmark DNSCrypt server","provided by cryptostorm.is","Copenhagen Denmark","",https://cryptostorm.is,1,no,yes,yes,82.103.131.172:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-lv,"CS Latvia DNSCrypt server","provided by cryptostorm.is","Riga Latvia","",https://cryptostorm.is,1,no,yes,yes,80.233.134.52:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-ussouth,"CS Dallas TX US DNSCrypt server","provided by cryptostorm.is","Dallas TX","",https://cryptostorm.is,1,no,yes,yes,70.32.38.67:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
d0wn-gr-ns1,"D0wn Resolver Greece 01","Server provided by Martin  d0wn  Albus","Greece","",https://dns.d0wn.biz,1,yes,yes,no,85.25.105.193:443,2.dnscrypt-cert.gr.d0wn.biz,B19C:0B5C:48F2:58FA:0BE4:67F4:5F50:BC7F:985F:C544:8A4F:BC9D:5574:5A35:5701:8009,pubkey.gr.dnscrypt.d0wn.biz
d0wn-is-ns2,"D0wn Resolver Iceland 02","Server provided by Martin  d0wn  Albus","Iceland","",https://dns.d0wn.biz,1,yes,yes,no,93.95.226.165:443,2.dnscrypt-cert.is2.d0wn.biz,8460:34A9:C630:CA3C:04AC:4A90:1625:F17A:87B2:ACB9:4180:AC48:1E2C:10E8:CEDE:1A6F,pubkey.is2.dnscrypt.d0wn.biz
dnscrypt.ca-1,"dnscrypt.ca Server 1","Uncensored DNSSEC validating and log-free","Montreal Canada","",https://dnscrypt.ca/,1,yes,yes,no,199.167.130.118:5353,2.dnscrypt-cert.dnscrypt.ca-1,74F7:4555:17BC:26F7:1177:E56D:7293:2788:6C72:915B:3F46:2830:3F91:0C47:C38E:8279,1.pk.dnscrypt.ca
dnscrypt.ca-2,"dnscrypt.ca Server 2","Uncensored DNSSEC validating and log-free","Montreal Canada","",https://dnscrypt.ca/,1,yes,yes,no,199.167.128.112:5353,2.dnscrypt-cert.dnscrypt.ca-2,43D5:2C82:5922:96C2:DB6F:8D48:CE22:4FDC:C726:26E1:06F6:E388:6193:FA00:9029:631B,2.pk.dnscrypt.ca
dnscrypt.org-fr,"DNSCrypt.org France","DNSSEC/Non-logged/Uncensored - ARM server donated by Scaleway.com","Paris France","",https://fr.dnscrypt.org,2,yes,yes,no,212.47.228.136:443,2.dnscrypt-cert.fr.dnscrypt.org,E801:B84E:A606:BFB0:BAC0:CE43:445B:B15E:BA64:B02F:A3C4:AA31:AE10:636A:0790:324D,pubkey.fr.dnscrypt.org
ipredator,"Ipredator.se Server","Public DNSCrypt server in Sweden provided by Ipredator.se","Sweden","",https://www.ipredator.se,1,no,yes,no,194.132.32.32:443,2.dnscrypt-cert.ipredator.se,C44C:566A:A8D6:46C4:32B1:04F5:3D00:961B:32DC:71CF:1C04:BD9E:B013:E480:E7A4:7828,pubkey.resolver2.ipredator.se
soltysiak,"Soltysiak","Public DNSCrypt server in Poland","Poland","52.4014619 16.9278078",http://dc1.soltysiak.com/,1,yes,yes,yes,178.216.201.222:2053,2.dnscrypt-cert.soltysiak.com,25C4:E188:2915:4697:8F9C:2BBD:B6A7:AFA4:01ED:A051:0508:5D53:03E7:1928:C066:8F21,pubkey.dc1.soltysiak.comcs-fr
